gene,condition,neighbor,neighbor_condition,similarity,rank
SGF29,Stim48hr,CCNC,Stim48hr,0.6568,1
SGF29,Stim48hr,STIP1,Stim48hr,0.4825,2
SGF29,Stim48hr,DOP1B,Stim48hr,0.4479,3
SGF29,Stim48hr,PAXIP1,Stim48hr,0.4278,4
SGF29,Stim48hr,IL2RB,Stim48hr,0.3847,5
SGF29,Stim48hr,ZNF649,Stim48hr,0.3507,6
SGF29,Stim48hr,GATA3,Stim48hr,0.3442,7
SGF29,Stim48hr,PPM1L,Rest,0.3196,8
TADA2B,Stim8hr,TAF6L,Stim8hr,0.9412,1
TADA2B,Stim8hr,SUPT20H,Stim8hr,0.9243,2
TADA2B,Stim8hr,TADA1,Stim8hr,0.8762,3
TADA2B,Stim8hr,CHD7,Stim8hr,0.8723,4
TADA2B,Stim8hr,TSPYL5,Stim8hr,0.854,5
TADA2B,Stim8hr,SUPT7L,Stim8hr,0.8362,6
TADA2B,Stim8hr,MED12,Stim8hr,0.7461,7
TADA2B,Stim8hr,SENP5,Stim8hr,0.737,8
SENP5,Stim8hr,MED12,Stim8hr,0.7777,1
SENP5,Stim8hr,TADA2B,Stim8hr,0.737,2
SENP5,Stim8hr,TAF6L,Stim8hr,0.7301,3
SENP5,Stim8hr,MED19,Stim8hr,0.7118,4
SENP5,Stim8hr,SUPT20H,Stim8hr,0.6974,5
SENP5,Stim8hr,UBE2L3,Stim8hr,0.6854,6
SENP5,Stim8hr,STX16,Stim8hr,0.6772,7
SENP5,Stim8hr,SUPT7L,Stim8hr,0.6738,8
SUPT20H,Stim8hr,TADA2B,Stim8hr,0.9243,1
SUPT20H,Stim8hr,TAF6L,Stim8hr,0.9201,2
SUPT20H,Stim8hr,TADA1,Stim8hr,0.8988,3
SUPT20H,Stim8hr,TSPYL5,Stim8hr,0.8566,4
SUPT20H,Stim8hr,SUPT7L,Stim8hr,0.8551,5
SUPT20H,Stim8hr,CHD7,Stim8hr,0.841,6
SUPT20H,Stim8hr,MED12,Stim8hr,0.7512,7
SUPT20H,Stim8hr,SENP5,Stim8hr,0.6974,8
TADA1,Stim8hr,SUPT20H,Stim8hr,0.8988,1
TADA1,Stim8hr,TAF6L,Stim8hr,0.8781,2
TADA1,Stim8hr,TADA2B,Stim8hr,0.8762,3
TADA1,Stim8hr,TSPYL5,Stim8hr,0.8573,4
TADA1,Stim8hr,SUPT7L,Stim8hr,0.8516,5
TADA1,Stim8hr,CHD7,Stim8hr,0.8065,6
TADA1,Stim8hr,MED12,Stim8hr,0.7159,7
TADA1,Stim8hr,SENP5,Stim8hr,0.618,8
CCNC,Stim48hr,SGF29,Stim48hr,0.6568,1
CCNC,Stim48hr,DOP1B,Stim48hr,0.5401,2
CCNC,Stim48hr,PAXIP1,Stim48hr,0.484,3
CCNC,Stim48hr,ZNF649,Stim48hr,0.4097,4
CCNC,Stim48hr,TM2D1,Stim48hr,0.4003,5
CCNC,Stim48hr,DLG4,Rest,0.3584,6
CCNC,Stim48hr,PDCL,Stim48hr,0.3553,7
CCNC,Stim48hr,SOCS2,Stim48hr,0.3533,8
MED12,Stim8hr,MED19,Stim8hr,0.778,1
MED12,Stim8hr,SENP5,Stim8hr,0.7777,2
MED12,Stim8hr,SUPT20H,Stim8hr,0.7512,3
MED12,Stim8hr,TADA2B,Stim8hr,0.7461,4
MED12,Stim8hr,SUPT7L,Stim8hr,0.7379,5
MED12,Stim8hr,TAF6L,Stim8hr,0.7216,6
MED12,Stim8hr,CHD7,Stim8hr,0.7162,7
MED12,Stim8hr,TADA1,Stim8hr,0.7159,8
NFRKB,Rest,BHLHE40,Stim8hr,0.3081,1
NFRKB,Rest,PDCL,Stim48hr,0.2843,2
NFRKB,Rest,SMIM3,Rest,0.279,3
NFRKB,Rest,DOP1B,Stim48hr,0.2553,4
NFRKB,Rest,SMARCB1,Rest,0.2433,5
NFRKB,Rest,DUSP22,Stim48hr,0.2421,6
NFRKB,Rest,CRTC3,Stim8hr,0.241,7
NFRKB,Rest,MAGI3,Stim48hr,0.2394,8
TAF6L,Stim8hr,TADA2B,Stim8hr,0.9412,1
TAF6L,Stim8hr,SUPT20H,Stim8hr,0.9201,2
TAF6L,Stim8hr,TADA1,Stim8hr,0.8781,3
TAF6L,Stim8hr,TSPYL5,Stim8hr,0.8574,4
TAF6L,Stim8hr,SUPT7L,Stim8hr,0.8357,5
TAF6L,Stim8hr,CHD7,Stim8hr,0.831,6
TAF6L,Stim8hr,SENP5,Stim8hr,0.7301,7
TAF6L,Stim8hr,MED12,Stim8hr,0.7216,8
ARNT,Stim48hr,TP53INP2,Stim48hr,0.8543,1
ARNT,Stim48hr,AHR,Rest,0.3396,2
ARNT,Stim48hr,STIP1,Stim48hr,0.2147,3
ARNT,Stim48hr,CCNC,Stim48hr,0.2086,4
ARNT,Stim48hr,DOP1B,Stim48hr,0.1806,5
ARNT,Stim48hr,SOCS2,Stim48hr,0.1702,6
ARNT,Stim48hr,SGF29,Stim48hr,0.1608,7
ARNT,Stim48hr,PDCL,Stim48hr,0.1449,8
ATP2A2,Rest,RHOA,Stim48hr,0.3257,1
ATP2A2,Rest,PRKAR1A,Stim8hr,0.2928,2
ATP2A2,Rest,MTA2,Stim8hr,0.2699,3
ATP2A2,Rest,TAF13,Stim8hr,0.264,4
ATP2A2,Rest,IL12RB2,Stim8hr,0.2565,5
ATP2A2,Rest,EIF4G1,Stim8hr,0.2512,6
ATP2A2,Rest,ATF4,Stim8hr,0.2495,7
ATP2A2,Rest,DENR,Stim8hr,0.2451,8
TAF13,Stim8hr,TAF11,Stim8hr,0.8138,1
TAF13,Stim8hr,MED19,Stim8hr,0.4629,2
TAF13,Stim8hr,POGLUT3,Stim8hr,0.4391,3
TAF13,Stim8hr,MED12,Stim8hr,0.3538,4
TAF13,Stim8hr,MRC2,Stim48hr,0.3417,5
TAF13,Stim8hr,DENR,Stim8hr,0.3169,6
TAF13,Stim8hr,CHD7,Stim8hr,0.3079,7
TAF13,Stim8hr,EIF4G1,Stim8hr,0.3069,8
LEO1,Rest,SKIC8,Stim48hr,0.3412,1
LEO1,Rest,RPRD2,Stim48hr,0.2603,2
LEO1,Rest,ELOF1,Stim48hr,0.2576,3
LEO1,Rest,MOSPD1,Rest,0.2554,4
LEO1,Rest,UVRAG,Rest,0.2244,5
LEO1,Rest,MED15,Rest,0.2133,6
LEO1,Rest,PDSS2,Stim8hr,0.2033,7
LEO1,Rest,SETDB1,Rest,0.1945,8
KDM1A,Stim48hr,SIK3,Stim48hr,0.2834,1
KDM1A,Stim48hr,CD3E,Stim8hr,0.2761,2
KDM1A,Stim48hr,LCK,Stim8hr,0.2759,3
KDM1A,Stim48hr,LAT,Stim8hr,0.2747,4
KDM1A,Stim48hr,LAMTOR2,Stim48hr,0.271,5
KDM1A,Stim48hr,RRAGA,Stim48hr,0.2628,6
KDM1A,Stim48hr,PLCG1,Stim8hr,0.2628,7
KDM1A,Stim48hr,PGGT1B,Stim8hr,0.2619,8
ELOF1,Stim48hr,CLCC1,Stim48hr,0.3523,1
ELOF1,Stim48hr,PLCG1,Stim8hr,0.2878,2
ELOF1,Stim48hr,CD3E,Stim8hr,0.2859,3
ELOF1,Stim48hr,PKN3,Stim48hr,0.2734,4
ELOF1,Stim48hr,ZAP70,Stim8hr,0.2713,5
ELOF1,Stim48hr,LAT,Stim8hr,0.2688,6
ELOF1,Stim48hr,LEO1,Rest,0.2576,7
ELOF1,Stim48hr,RRAGA,Stim48hr,0.2524,8
SMARCE1,Stim8hr,SMARCB1,Rest,0.4542,1
SMARCE1,Stim8hr,IL2RB,Stim48hr,0.2701,2
SMARCE1,Stim8hr,GATA3,Stim48hr,0.2324,3
SMARCE1,Stim8hr,KLF2,Rest,0.2105,4
SMARCE1,Stim8hr,CREBBP,Stim8hr,0.2022,5
SMARCE1,Stim8hr,NSD1,Stim48hr,0.1681,6
SMARCE1,Stim8hr,SGF29,Stim48hr,0.154,7
SMARCE1,Stim8hr,NFRKB,Rest,0.152,8
ELOB,Stim8hr,UBE2L3,Stim8hr,0.3694,1
ELOB,Stim8hr,SENP5,Stim8hr,0.3497,2
ELOB,Stim8hr,TADA2B,Stim8hr,0.3485,3
ELOB,Stim8hr,MED19,Stim8hr,0.347,4
ELOB,Stim8hr,NCAPG2,Stim8hr,0.3416,5
ELOB,Stim8hr,EIF1AX,Stim8hr,0.3343,6
ELOB,Stim8hr,TAF6L,Stim8hr,0.3331,7
ELOB,Stim8hr,EIF4G2,Stim8hr,0.3123,8
DENR,Stim8hr,MED19,Stim8hr,0.4475,1
DENR,Stim8hr,NCAPG2,Stim8hr,0.4075,2
DENR,Stim8hr,SENP5,Stim8hr,0.3884,3
DENR,Stim8hr,UBE2L3,Stim8hr,0.3604,4
DENR,Stim8hr,TAF6L,Stim8hr,0.3527,5
DENR,Stim8hr,TESPA1,Stim8hr,0.3472,6
DENR,Stim8hr,POGLUT3,Stim8hr,0.3471,7
DENR,Stim8hr,TADA2B,Stim8hr,0.3354,8
ATAD5,Rest,MED15,Rest,0.3336,1
ATAD5,Rest,UBE2L3,Stim8hr,0.3188,2
ATAD5,Rest,MED19,Stim8hr,0.2974,3
ATAD5,Rest,TESPA1,Stim8hr,0.2832,4
ATAD5,Rest,NCAPG2,Stim8hr,0.2804,5
ATAD5,Rest,MYB,Rest,0.2566,6
ATAD5,Rest,NAA30,Stim8hr,0.2549,7
ATAD5,Rest,ERCC4,Stim48hr,0.2401,8
SUPT7L,Stim8hr,SUPT20H,Stim8hr,0.8551,1
SUPT7L,Stim8hr,TADA1,Stim8hr,0.8516,2
SUPT7L,Stim8hr,TADA2B,Stim8hr,0.8362,3
SUPT7L,Stim8hr,TAF6L,Stim8hr,0.8357,4
SUPT7L,Stim8hr,TSPYL5,Stim8hr,0.8029,5
SUPT7L,Stim8hr,CHD7,Stim8hr,0.7862,6
SUPT7L,Stim8hr,MED12,Stim8hr,0.7379,7
SUPT7L,Stim8hr,SENP5,Stim8hr,0.6738,8
DHX36,Rest,KIFAP3,Rest,0.6408,1
DHX36,Rest,UVRAG,Rest,0.3451,2
DHX36,Rest,STRAP,Rest,0.2842,3
DHX36,Rest,MRC2,Stim48hr,0.2629,4
DHX36,Rest,EWSR1,Rest,0.2623,5
DHX36,Rest,MED15,Rest,0.2516,6
DHX36,Rest,RHOA,Stim48hr,0.2435,7
DHX36,Rest,SETDB1,Rest,0.2418,8
ELAVL1,Stim8hr,ARFGEF2,Stim8hr,0.4944,1
ELAVL1,Stim8hr,CRTC3,Stim8hr,0.4484,2
ELAVL1,Stim8hr,ITPR1,Stim48hr,0.4361,3
ELAVL1,Stim8hr,SC5D,Stim8hr,0.4332,4
ELAVL1,Stim8hr,MORC2,Stim8hr,0.4292,5
ELAVL1,Stim8hr,DUSP22,Stim48hr,0.4154,6
ELAVL1,Stim8hr,DDX19B,Stim8hr,0.4079,7
ELAVL1,Stim8hr,CEP250,Stim8hr,0.4057,8
EIF4G2,Stim8hr,ELOB,Stim8hr,0.3123,1
EIF4G2,Stim8hr,DENR,Stim8hr,0.2848,2
EIF4G2,Stim8hr,NCAPG2,Stim8hr,0.2588,3
EIF4G2,Stim8hr,UBE2E2,Stim8hr,0.2563,4
EIF4G2,Stim8hr,UBE2L3,Stim8hr,0.2488,5
EIF4G2,Stim8hr,PLCG1,Stim8hr,0.2421,6
EIF4G2,Stim8hr,CD3E,Stim8hr,0.2329,7
EIF4G2,Stim8hr,ZAP70,Stim8hr,0.2265,8
SMG1,Stim8hr,SMG7,Stim8hr,0.7759,1
SMG1,Stim8hr,CASC3,Stim8hr,0.5467,2
SMG1,Stim8hr,EGR2,Stim8hr,0.1836,3
SMG1,Stim8hr,RTRAF,Stim8hr,0.1677,4
SMG1,Stim8hr,STRAP,Rest,0.1547,5
SMG1,Stim8hr,DDX1,Stim8hr,0.1492,6
SMG1,Stim8hr,ELP1,Stim8hr,0.1306,7
SMG1,Stim8hr,SLC35B1,Stim8hr,0.1298,8
CREBBP,Stim8hr,PARP14,Stim8hr,0.385,1
CREBBP,Stim8hr,CCNC,Stim48hr,0.2792,2
CREBBP,Stim8hr,LAT,Stim8hr,0.2749,3
CREBBP,Stim8hr,USO1,Stim8hr,0.2674,4
CREBBP,Stim8hr,ZAP70,Stim8hr,0.2661,5
CREBBP,Stim8hr,DOLPP1,Stim8hr,0.2657,6
CREBBP,Stim8hr,DCAKD,Stim8hr,0.2606,7
CREBBP,Stim8hr,IL2RB,Stim48hr,0.2546,8
AHR,Rest,PPM1L,Rest,0.682,1
AHR,Rest,UBXN1,Rest,0.6687,2
AHR,Rest,NCKAP1L,Rest,0.6643,3
AHR,Rest,GABARAPL1,Rest,0.6603,4
AHR,Rest,ZMYM2,Rest,0.6588,5
AHR,Rest,DYNC2H1,Rest,0.6413,6
AHR,Rest,DLG4,Rest,0.6364,7
AHR,Rest,BPNT1,Rest,0.6359,8
USP22,Stim8hr,ATXN7L3,Stim8hr,0.6115,1
USP22,Stim8hr,SUPT20H,Stim8hr,0.4733,2
USP22,Stim8hr,TAF6L,Stim8hr,0.4709,3
USP22,Stim8hr,TADA2B,Stim8hr,0.4189,4
USP22,Stim8hr,SUPT7L,Stim8hr,0.4026,5
USP22,Stim8hr,TSPYL5,Stim8hr,0.3927,6
USP22,Stim8hr,CHD7,Stim8hr,0.3918,7
USP22,Stim8hr,TADA1,Stim8hr,0.3874,8
MED15,Rest,MED19,Stim8hr,0.4363,1
MED15,Rest,POGLUT3,Stim8hr,0.3746,2
MED15,Rest,MRC2,Stim48hr,0.3652,3
MED15,Rest,MED12,Stim8hr,0.3618,4
MED15,Rest,MOSPD1,Rest,0.351,5
MED15,Rest,CD3E,Stim8hr,0.339,6
MED15,Rest,CLCC1,Stim48hr,0.3376,7
MED15,Rest,ATAD5,Rest,0.3336,8
NSD1,Stim48hr,IL2RB,Stim48hr,0.3079,1
NSD1,Stim48hr,GATA3,Stim48hr,0.2893,2
NSD1,Stim48hr,ZNF649,Stim48hr,0.212,3
NSD1,Stim48hr,BHLHE40,Stim8hr,0.2055,4
NSD1,Stim48hr,HDGF,Stim48hr,0.194,5
NSD1,Stim48hr,HNRNPUL2,Stim48hr,0.1854,6
NSD1,Stim48hr,CRTC3,Stim8hr,0.1708,7
NSD1,Stim48hr,SMARCE1,Stim8hr,0.1681,8
RPRD2,Stim48hr,YTHDF2,Stim48hr,0.3018,1
RPRD2,Stim48hr,ACTR2,Stim48hr,0.2623,2
RPRD2,Stim48hr,LEO1,Rest,0.2603,3
RPRD2,Stim48hr,PTPA,Stim48hr,0.252,4
RPRD2,Stim48hr,PDSS2,Stim8hr,0.249,5
RPRD2,Stim48hr,RHOA,Stim48hr,0.2438,6
RPRD2,Stim48hr,KHDRBS1,Stim8hr,0.227,7
RPRD2,Stim48hr,TFAM,Stim48hr,0.2108,8
CPSF6,Stim8hr,CFAP298,Stim8hr,0.4597,1
CPSF6,Stim8hr,PPIH,Stim8hr,0.4402,2
CPSF6,Stim8hr,COX6C,Stim8hr,0.4135,3
CPSF6,Stim8hr,KHDRBS1,Stim8hr,0.402,4
CPSF6,Stim8hr,PDSS2,Stim8hr,0.3899,5
CPSF6,Stim8hr,PRKAR1A,Stim8hr,0.3858,6
CPSF6,Stim8hr,STARD3,Stim8hr,0.3811,7
CPSF6,Stim8hr,ATF4,Stim8hr,0.3661,8
UBE2L3,Stim8hr,SENP5,Stim8hr,0.6854,1
UBE2L3,Stim8hr,GLIPR2,Stim8hr,0.6025,2
UBE2L3,Stim8hr,MED12,Stim8hr,0.5976,3
UBE2L3,Stim8hr,MED19,Stim8hr,0.5775,4
UBE2L3,Stim8hr,STX16,Stim8hr,0.5698,5
UBE2L3,Stim8hr,TAF6L,Stim8hr,0.529,6
UBE2L3,Stim8hr,TADA2B,Stim8hr,0.5118,7
UBE2L3,Stim8hr,SUPT20H,Stim8hr,0.4913,8
UFM1,Stim8hr,EIF4G1,Stim8hr,0.3827,1
UFM1,Stim8hr,ATF4,Stim8hr,0.3614,2
UFM1,Stim8hr,SLC35B1,Stim8hr,0.2901,3
UFM1,Stim8hr,KHDRBS1,Stim8hr,0.2693,4
UFM1,Stim8hr,ARFGEF2,Stim8hr,0.2672,5
UFM1,Stim8hr,TXNL4B,Stim8hr,0.2641,6
UFM1,Stim8hr,ELP1,Stim8hr,0.2627,7
UFM1,Stim8hr,CFAP298,Stim8hr,0.26,8
UBXN1,Rest,ZMYM2,Rest,0.8499,1
UBXN1,Rest,NCKAP1L,Rest,0.8254,2
UBXN1,Rest,DYNC2H1,Rest,0.8123,3
UBXN1,Rest,PPM1L,Rest,0.7841,4
UBXN1,Rest,GABARAPL1,Rest,0.7775,5
UBXN1,Rest,INSR,Rest,0.7769,6
UBXN1,Rest,DLG4,Rest,0.7678,7
UBXN1,Rest,BPNT1,Rest,0.7656,8
WAC,Stim8hr,CEP250,Stim8hr,0.4365,1
WAC,Stim8hr,ARFGEF2,Stim8hr,0.4284,2
WAC,Stim8hr,BHLHE40,Stim8hr,0.4278,3
WAC,Stim8hr,TP53,Rest,0.4184,4
WAC,Stim8hr,ITPR1,Stim48hr,0.4151,5
WAC,Stim8hr,ARRDC1,Rest,0.403,6
WAC,Stim8hr,PPIH,Stim8hr,0.4022,7
WAC,Stim8hr,ZNF649,Stim48hr,0.3991,8
SMARCB1,Rest,INSR,Rest,0.4689,1
SMARCB1,Rest,SMARCE1,Stim8hr,0.4542,2
SMARCB1,Rest,UBXN1,Rest,0.449,3
SMARCB1,Rest,ARRDC1,Rest,0.4351,4
SMARCB1,Rest,NCKAP1L,Rest,0.4344,5
SMARCB1,Rest,ZMYM2,Rest,0.4245,6
SMARCB1,Rest,TAOK2,Rest,0.4148,7
SMARCB1,Rest,DYNC2H1,Rest,0.4025,8
SETDB1,Rest,MED15,Rest,0.3079,1
SETDB1,Rest,ATF7IP2,Stim8hr,0.3044,2
SETDB1,Rest,UVRAG,Rest,0.2657,3
SETDB1,Rest,DHX36,Rest,0.2418,4
SETDB1,Rest,LAMTOR2,Stim48hr,0.2181,5
SETDB1,Rest,EWSR1,Rest,0.2176,6
SETDB1,Rest,MRC2,Stim48hr,0.2044,7
SETDB1,Rest,MOSPD1,Rest,0.197,8
WDR82,Stim8hr,BTAF1,Stim8hr,0.1963,1
WDR82,Stim8hr,WAC,Stim8hr,0.1778,2
WDR82,Stim8hr,TADA1,Stim8hr,0.1349,3
WDR82,Stim8hr,BHLHE40,Stim8hr,0.099,4
WDR82,Stim8hr,SGF29,Stim48hr,0.098,5
WDR82,Stim8hr,RETREG2,Stim8hr,0.0972,6
WDR82,Stim8hr,STAT3,Stim48hr,0.0927,7
WDR82,Stim8hr,MORC2,Stim8hr,0.0878,8
YTHDF2,Stim48hr,PDCL,Stim48hr,0.3959,1
YTHDF2,Stim48hr,STARD3,Stim8hr,0.3887,2
YTHDF2,Stim48hr,DOP1B,Stim48hr,0.3738,3
YTHDF2,Stim48hr,PAXIP1,Stim48hr,0.3725,4
YTHDF2,Stim48hr,SEC31A,Stim48hr,0.3466,5
YTHDF2,Stim48hr,ARFGEF2,Stim8hr,0.3321,6
YTHDF2,Stim48hr,TM2D1,Stim48hr,0.3233,7
YTHDF2,Stim48hr,ITPR1,Stim48hr,0.322,8
SKIC8,Stim48hr,ITPR1,Stim48hr,0.409,1
SKIC8,Stim48hr,TM2D1,Stim48hr,0.3953,2
SKIC8,Stim48hr,ARFGEF2,Stim8hr,0.3849,3
SKIC8,Stim48hr,WAC,Stim8hr,0.375,4
SKIC8,Stim48hr,GABARAPL1,Rest,0.3743,5
SKIC8,Stim48hr,BPNT1,Rest,0.3727,6
SKIC8,Stim48hr,INSR,Rest,0.3708,7
SKIC8,Stim48hr,STARD3,Stim8hr,0.3622,8
ATF7IP2,Stim8hr,EIF1AX,Stim8hr,0.5644,1
ATF7IP2,Stim8hr,CD3E,Stim8hr,0.5628,2
ATF7IP2,Stim8hr,NCAPG2,Stim8hr,0.5572,3
ATF7IP2,Stim8hr,PLCG1,Stim8hr,0.5532,4
ATF7IP2,Stim8hr,LAT,Stim8hr,0.5467,5
ATF7IP2,Stim8hr,UBE2E2,Stim8hr,0.528,6
ATF7IP2,Stim8hr,ZAP70,Stim8hr,0.5224,7
ATF7IP2,Stim8hr,FZD6,Stim8hr,0.4642,8
SIN3B,Stim48hr,SKIC8,Stim48hr,0.1888,1
SIN3B,Stim48hr,STARD3,Stim8hr,0.1829,2
SIN3B,Stim48hr,SEC31A,Stim48hr,0.1796,3
SIN3B,Stim48hr,LEPROTL1,Stim8hr,0.1697,4
SIN3B,Stim48hr,KHDRBS1,Stim8hr,0.154,5
SIN3B,Stim48hr,SCLY,Rest,0.1466,6
SIN3B,Stim48hr,ATF4,Stim8hr,0.1441,7
SIN3B,Stim48hr,LSP1,Stim8hr,0.1382,8
MTA2,Stim8hr,PRKAR1A,Stim8hr,0.3267,1
MTA2,Stim8hr,ATP2A2,Rest,0.2699,2
MTA2,Stim8hr,EIF4G1,Stim8hr,0.2286,3
MTA2,Stim8hr,ATAD5,Rest,0.2181,4
MTA2,Stim8hr,TAF13,Stim8hr,0.2158,5
MTA2,Stim8hr,MRC2,Stim48hr,0.1925,6
MTA2,Stim8hr,IL12RB2,Stim8hr,0.1893,7
MTA2,Stim8hr,NCAPG2,Stim8hr,0.178,8
PDSS2,Stim8hr,COX6C,Stim8hr,0.7459,1
PDSS2,Stim8hr,HCCS,Stim8hr,0.6776,2
PDSS2,Stim8hr,ATF4,Stim8hr,0.5339,3
PDSS2,Stim8hr,PPIH,Stim8hr,0.4603,4
PDSS2,Stim8hr,KHDRBS1,Stim8hr,0.4537,5
PDSS2,Stim8hr,PRKAR1A,Stim8hr,0.4333,6
PDSS2,Stim8hr,STARD3,Stim8hr,0.3947,7
PDSS2,Stim8hr,CPSF6,Stim8hr,0.3899,8
CHD7,Stim8hr,TADA2B,Stim8hr,0.8723,1
CHD7,Stim8hr,SUPT20H,Stim8hr,0.841,2
CHD7,Stim8hr,TAF6L,Stim8hr,0.831,3
CHD7,Stim8hr,TADA1,Stim8hr,0.8065,4
CHD7,Stim8hr,SUPT7L,Stim8hr,0.7862,5
CHD7,Stim8hr,TSPYL5,Stim8hr,0.7707,6
CHD7,Stim8hr,MED12,Stim8hr,0.7162,7
CHD7,Stim8hr,MED19,Stim8hr,0.6583,8
KIFAP3,Rest,DHX36,Rest,0.6408,1
KIFAP3,Rest,UBR5,Stim8hr,0.2159,2
KIFAP3,Rest,RHOA,Stim48hr,0.2124,3
KIFAP3,Rest,LARP4,Stim48hr,0.1943,4
KIFAP3,Rest,FH,Rest,0.1909,5
KIFAP3,Rest,ATP2A2,Rest,0.1728,6
KIFAP3,Rest,STRAP,Rest,0.1656,7
KIFAP3,Rest,PTEN,Rest,0.1614,8
SMG7,Stim8hr,SMG1,Stim8hr,0.7759,1
SMG7,Stim8hr,CASC3,Stim8hr,0.4812,2
SMG7,Stim8hr,EGR2,Stim8hr,0.218,3
SMG7,Stim8hr,SLC35B1,Stim8hr,0.1563,4
SMG7,Stim8hr,STRAP,Rest,0.1547,5
SMG7,Stim8hr,ELAVL1,Stim8hr,0.1203,6
SMG7,Stim8hr,HDGF,Stim48hr,0.1181,7
SMG7,Stim8hr,DDX19B,Stim8hr,0.1154,8
UBR5,Stim8hr,PDSS2,Stim8hr,0.3429,1
UBR5,Stim8hr,ATF4,Stim8hr,0.3371,2
UBR5,Stim8hr,EIF4G1,Stim8hr,0.3288,3
UBR5,Stim8hr,RHOA,Stim48hr,0.3148,4
UBR5,Stim8hr,PRKAR1A,Stim8hr,0.3145,5
UBR5,Stim8hr,CD53,Stim8hr,0.3038,6
UBR5,Stim8hr,TXNL4B,Stim8hr,0.2863,7
UBR5,Stim8hr,CPSF6,Stim8hr,0.2759,8
MED24,Stim8hr,MED23,Stim8hr,0.4193,1
MED24,Stim8hr,POGLUT3,Stim8hr,0.379,2
MED24,Stim8hr,MED1,Stim8hr,0.3587,3
MED24,Stim8hr,BTAF1,Stim8hr,0.3187,4
MED24,Stim8hr,IL12RB2,Stim8hr,0.273,5
MED24,Stim8hr,MED19,Stim8hr,0.2465,6
MED24,Stim8hr,KHDRBS1,Stim8hr,0.2084,7
MED24,Stim8hr,ATF4,Stim8hr,0.2045,8
DOLPP1,Stim8hr,MPI,Stim8hr,0.749,1
DOLPP1,Stim8hr,SLC35B1,Stim8hr,0.5883,2
DOLPP1,Stim8hr,USO1,Stim8hr,0.4807,3
DOLPP1,Stim8hr,LAT,Stim8hr,0.4461,4
DOLPP1,Stim8hr,ZAP70,Stim8hr,0.4335,5
DOLPP1,Stim8hr,CD3E,Stim8hr,0.4294,6
DOLPP1,Stim8hr,PLCG1,Stim8hr,0.3956,7
DOLPP1,Stim8hr,COG6,Stim8hr,0.3789,8
PTEN,Rest,KLF2,Rest,0.3946,1
PTEN,Rest,MYB,Rest,0.3356,2
PTEN,Rest,ATP2A2,Rest,0.2265,3
PTEN,Rest,RRAGA,Stim48hr,0.1919,4
PTEN,Rest,SETDB1,Rest,0.1789,5
PTEN,Rest,RPTOR,Stim8hr,0.1777,6
PTEN,Rest,FH,Rest,0.176,7
PTEN,Rest,LAMTOR2,Stim48hr,0.1747,8
INTS10,Stim48hr,GPI,Stim48hr,0.2052,1
INTS10,Stim48hr,RHOA,Stim48hr,0.1698,2
INTS10,Stim48hr,LAMTOR2,Stim48hr,0.1599,3
INTS10,Stim48hr,IL2RB,Stim48hr,0.1583,4
INTS10,Stim48hr,KDM1A,Stim48hr,0.1493,5
INTS10,Stim48hr,BTAF1,Stim8hr,0.1421,6
INTS10,Stim48hr,STAT3,Stim48hr,0.1284,7
INTS10,Stim48hr,ARNT,Stim48hr,0.1236,8
MED19,Stim8hr,MED12,Stim8hr,0.778,1
MED19,Stim8hr,POGLUT3,Stim8hr,0.7499,2
MED19,Stim8hr,SENP5,Stim8hr,0.7118,3
MED19,Stim8hr,TADA2B,Stim8hr,0.6879,4
MED19,Stim8hr,SUPT20H,Stim8hr,0.6776,5
MED19,Stim8hr,TAF6L,Stim8hr,0.6651,6
MED19,Stim8hr,CHD7,Stim8hr,0.6583,7
MED19,Stim8hr,SUPT7L,Stim8hr,0.6429,8
BTAF1,Stim8hr,TAF11,Stim8hr,0.383,1
BTAF1,Stim8hr,PDSS2,Stim8hr,0.3348,2
BTAF1,Stim8hr,MED24,Stim8hr,0.3187,3
BTAF1,Stim8hr,TAF13,Stim8hr,0.2907,4
BTAF1,Stim8hr,CPSF6,Stim8hr,0.264,5
BTAF1,Stim8hr,ATF4,Stim8hr,0.2613,6
BTAF1,Stim8hr,PPIH,Stim8hr,0.2537,7
BTAF1,Stim8hr,NIPSNAP3A,Stim8hr,0.2424,8
STAT3,Stim48hr,GPI,Stim48hr,0.4187,1
STAT3,Stim48hr,SOCS2,Stim48hr,0.3379,2
STAT3,Stim48hr,HNRNPUL2,Stim48hr,0.2704,3
STAT3,Stim48hr,SMIM3,Rest,0.2589,4
STAT3,Stim48hr,DUSP22,Stim48hr,0.2444,5
STAT3,Stim48hr,RRAGA,Stim48hr,0.2414,6
STAT3,Stim48hr,HAVCR2,Rest,0.2189,7
STAT3,Stim48hr,CCDC117,Rest,0.2149,8
USP7,Stim8hr,DENR,Stim8hr,0.2749,1
USP7,Stim8hr,TAF13,Stim8hr,0.2722,2
USP7,Stim8hr,TESPA1,Stim8hr,0.2647,3
USP7,Stim8hr,RHOA,Stim48hr,0.2567,4
USP7,Stim8hr,PRKAR1A,Stim8hr,0.253,5
USP7,Stim8hr,NCAPG2,Stim8hr,0.2525,6
USP7,Stim8hr,ATAD5,Rest,0.2311,7
USP7,Stim8hr,ATP2A2,Rest,0.2216,8
TAF11,Stim8hr,TAF13,Stim8hr,0.8138,1
